freq,animals,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,A2000,THS_HD,HU11	: 	: 	: 	: 	7.00 	8.00 	8.00 	1.90 	1.20 	0.90 	0.90 	1.40 
A,A2000,THS_HD,HU12	: 	: 	: 	: 	72.00 	72.00 	79.00 	84.20 	86.00 	81.60 	77.60 	72.10 
A,A2000,THS_HD,HU21	88.00 	97.00 	101.00 	111.00 	112.00 	108.00 	111.00 	119.90 	110.30 	112.40 	111.80 	115.40 
A,A2000,THS_HD,HU22	110.00 	108.00 	110.00 	113.00 	116.00 	116.00 	118.00 	117.60 	118.10 	118.80 	100.20 	100.20 
A,A2000,THS_HD,HU23	94.00 	102.00 	108.00 	105.00 	106.00 	110.00 	113.00 	110.40 	91.20 	97.30 	101.00 	101.40 
A,A2000,THS_HD,HU31	67.00 	71.00 	71.00 	79.00 	84.00 	82.00 	84.00 	92.80 	88.50 	84.80 	93.20 	89.60 
A,A2000,THS_HD,HU32	184.00 	192.00 	195.00 	200.00 	196.00 	210.00 	216.00 	220.40 	234.40 	221.10 	207.40 	209.50 
A,A2000,THS_HD,HU33	167.00 	169.00 	169.00 	171.00 	177.00 	179.00 	181.00 	185.90 	180.30 	177.20 	177.70 	180.30 
A,A2000,THS_HD,IE01	2417.99 	2379.91 	2442.10 	2510.33 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,IE02	3891.06 	3863.14 	3980.13 	4103.10 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,THS_HD,IE04	1599.16 	1573.62 	1609.58 	1641.19 	1602.80 	1595.93 	1599.09 	1591.68 	1607.54 	1576.34 	1591.32 	1553.09 
A,A2000,THS_HD,IE05	3359.26 	3329.05 	3431.15 	3536.96 	3588.08 	3528.70 	3514.55 	3507.21 	3577.70 	3530.24 	3497.44 	3361.51 
A,A2000,THS_HD,IE06	1350.63 	1340.38 	1381.50 	1435.29 	1482.72 	1468.86 	1446.01 	1430.55 	1464.07 	1445.25 	1437.21 	1393.70 
A,A2000,THS_HD,IS00	73.20 	73.70 	75.90 	79.90 	80.90 	81.40 	80.90 	81.40 	: 	79.93 	78.73 	76.90 
A,A2000,THS_HD,ITC1	778.04 	793.62 	790.94 	837.31 	780.96 	804.60 	828.40 	841.38 	822.04 	811.22 b	793.90 	754.94 b
A,A2000,THS_HD,ITC2	39.70 	35.24 	38.73 	37.51 	29.36 	30.15 	32.27 	32.08 	39.29 	37.92 b	35.46 	32.47 b
A,A2000,THS_HD,ITC3	10.28 	13.78 	19.52 	19.27 	16.43 	17.15 	15.22 	15.14 	13.90 	11.80 b	11.93 	11.28 b
A,A2000,THS_HD,ITC4	1364.65 	1431.74 	1430.53 	1459.47 	1451.67 	1478.16 	1547.03 	1549.99 	1545.02 	1538.47 b	1535.56 	1520.95 b
A,A2000,THS_HD,ITF1	73.84 	58.53 	58.94 	61.50 	67.39 	64.86 	76.54 	79.69 	76.80 	67.20 b	66.78 	58.75 b
A,A2000,THS_HD,ITF2	50.57 	49.63 	48.83 	50.91 	58.47 	56.40 	49.14 	48.92 	47.87 	40.72 b	39.90 	32.56 b
A,A2000,THS_HD,ITF3	512.75 	477.55 	477.68 	488.70 	513.55 	499.26 	494.72 	498.92 	489.61 	462.18 b	452.65 	447.19 b
A,A2000,THS_HD,ITF4	246.90 	219.31 	223.70 	231.18 	232.18 	229.76 	197.61 	200.25 	196.70 	183.42 b	184.74 	178.12 b
A,A2000,THS_HD,ITF5	99.83 	91.67 	93.56 	95.21 	102.29 	95.30 	99.34 	99.64 	99.61 	100.80 b	99.87 	98.65 b
A,A2000,THS_HD,ITF6	109.21 	120.72 	126.41 	127.37 	134.74 	134.55 	145.44 	145.77 	133.62 	117.41 b	116.01 	110.65 b
A,A2000,THS_HD,ITG1	318.21 	350.14 	346.30 	355.74 	367.98 	351.38 	390.91 	391.30 	375.18 	334.14 b	325.04 	314.53 b
A,A2000,THS_HD,ITG2	: 	259.66 	260.92 	260.65 	271.02 	269.51 	290.87 	288.97 	291.16 	274.94 b	276.25 	279.13 b
A,A2000,THS_HD,ITH1	192.86 	127.24 	129.59 	136.33 	151.26 	129.16 	127.25 	122.68 	122.46 	122.66 b	121.50 	123.28 b
A,A2000,THS_HD,ITH2	43.80 	45.06 	44.45 	45.23 	50.63 	52.18 	52.39 	59.49 	52.72 	49.58 b	50.53 	41.16 b
A,A2000,THS_HD,ITH3	835.79 	832.70 	831.30 	852.03 	836.85 	834.61 	826.50 	825.21 	802.79 	777.49 b	765.24 	713.75 b
A,A2000,THS_HD,ITH4	104.47 	105.18 	109.86 	113.27 	128.31 	122.11 	108.50 	101.11 	91.65 	80.80 b	77.67 	70.95 b
A,A2000,THS_HD,ITH5	706.42 	658.88 	657.63 	667.67 	681.42 	685.86 	628.71 	628.90 	614.98 	579.78 b	583.76 	549.26 b
A,A2000,THS_HD,ITI1	86.63 	75.86 	79.81 	85.88 	82.08 	83.94 	91.90 	92.56 	88.94 	88.57 b	91.27 	70.09 b
A,A2000,THS_HD,ITI2	56.15 	50.84 	53.29 	54.45 	53.43 	53.45 	53.35 	53.85 	57.02 	55.37 b	54.73 	53.06 b
A,A2000,THS_HD,ITI3	96.39 	46.42 	46.81 	50.29 	58.46 	53.60 	58.19 	56.91 	56.71 	49.79 b	52.26 	40.34 b
A,A2000,THS_HD,ITI4	283.33 	281.65 	286.99 	284.94 	281.35 	265.18 	262.95 	267.29 	262.23 	264.55 b	263.55 	264.08 b
A,A2000,THS_HD,LT00	713.50 p	736.70 p	722.60 p	694.80 	676.30 p	653.50 p	634.60 p	629.50 p	628.70 p	: 	: 	: 
A,A2000,THS_HD,LT01	40.20 	39.90 	35.40 	32.10 	30.40 	27.90 	25.50 	25.90 	26.40 	27.43 	26.87 	25.42 
A,A2000,THS_HD,LT02	673.30 	696.70 	687.20 	662.70 	646.50 	625.60 	609.10 	603.60 	602.30 	614.50 	596.65 	574.35 
A,A2000,THS_HD,LU00	198.24 	201.15 	200.64 	202.41 	198.07 	194.39 	192.10 	190.69 	187.20 	186.13 	183.56 	179.79 
A,A2000,THS_HD,LV00	406.49 p	422.02 p	419.10 p	412.31 	405.82 p	395.33 p	395.32 p	398.99 	393.47 	391.35 	368.06 	352.09 p
