freq,hatchitm,animals,unit,geo\TIME_PERIOD	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,CU,A5130O,THS,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: @C	: @C	: @C	: @C	: @C	: @C
A,CU,A5130O,THS,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3993 	3904 	3091.3 	3008.3 	3008 	3921 	2781 	3072 	2808 	3285 	4706 	3523 	3657 	4611 	2982 	3668 	4182 	3255 	3863 	4371 	4418 e	5583 	7092 e	7889 	6265 	4650 	5338 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	2708 	2613 	3526.56 	4130.7 	4754.01 
A,CU,A5130O,THS,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36201 e	38185 	35881.9 	40722.3 	36713 	35773 	29673 	36034 	38300 	31426 	35106 	33235 	34707 	30880.2 	35263.8 	34047.4 	37690.6 	37163.1 	35868.5 	34201.8 	29262.1 	30376.5 	30182.4 	30848.4 p	39390.8 p	34515.5 p	32875.5 p	27388.48 p	29394.8 p	31219.64 p	29908.9 p	33158.09 p	34444.91 p	37860.56 p	38243.16 p	38937.37 p	38474.19 	36235.75 	35718.27 
A,CU,A5130O,THS,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: @C	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: 	: 	: 	: 	: 
A,CU,A5130O,THS,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: 	: 	: 	: 	: 
A,CU,A5130O,THS,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: 	: 	: 
A,CU,A5130O,THS,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: 	: 	: 
A,CU,A5130O,THS,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: 	: 	: 	: 	: 
A,CU,A5130O,THS,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3362 	3477 	3607 	3662 	3493 	3916 	3666 	3758 	3302 	4285 	3797 	4110 	3813 	3483 	3702 	3983 	4226 	3874 	3993 	3890 	3904 	3398 	3884 	3743 	3544 	3513 	3666 
A,CU,A5130O,THS,FR	23991 	23787 	26313 	24550 	25806 	31616 	33547 	36891 	36884 	36260 	40009 	41793 	43720 	47570 	50009 	54731 	46276 	47938 	47180 	43315 	44733 	43386 	43997 	45905 	47636 	48085 	48407 	50981 	47776 	47881 	47538 	50624 	50782 	51445 	48940 	48771 	51168 	49668 	48678 	47156 	46866.1 	45470.2 p	48735.1 p	46488.1 p	41650.3 p	51849.6 p	54477.58 p	54448.24 p	52431 p	54109.71 p	52309.15 p	48601.63 p	47004.05 p	49411.25 p	50493.99 p	51995.61 p	51011.77 p	49122.23 
